노선번호,기점,경유지,종점,운영횟수,기점첫차,종점첫차,기점막차,종점막차,유의사항,기준일
4-9,양평터미널,양평시장양평역강상우체국병산리전수리성덕리항금리,성덕리 성덕항금 ,2,10:30,11:00,20:00,20:30,,2020-11-23
4-9,양평터미널,양평시장양평역강상우체국병산리전수리성덕리항금리,성덕리 성덕항금 ,4,07:20,07:50,17:00,17:30,,2020-11-23
5,계림,송촌리계전리천서리개군회현리양평시장,양평터미널,1,07:00,,,,,2020-11-23
5-1,양평터미널 대신터미널 ,양평시장양평고교회현리개군천서리송촌리곡수삼거리옥촌리초현리,대신터미널 양평터미널 ,2,09:20,08:30,20:30,10:10,,2020-11-23
5-11,양평터미널,양평시장양평고교회현리개군천서리송촌리곡수삼거리옥촌리초현리,대신터미널,1,06:20,,,,,2020-11-23
5-2,양평터미널,양평시장양평고교회현리석장리앙덕리구미리, 앙덕  개군 터미널,3,11:00,11:30,19:30,20:00,,2020-11-23
5-2,양평터미널,양평시장양평고교회현리석장리앙덕리구미리, 앙덕  개군 터미널,1,07:30,08:00,,,,2020-11-23
5-3,양평터미널,양평시장양평고교회현리개군천서리송촌리계림,곡수 삼거리,1,21:00,21:30,,,,2020-11-23
5-4 벽 ,양평터미널 내리마을 ,양평시장양평고교창대리회현리석장리입구개군,내리 마을 회관 종점 양평터미널 ,3,11:10,07:00,19:10,19:45,,2020-11-23
5-5,양평터미널 곡수 삼거리 ,양평시장양평고교회현리개군주읍리수곡리곡수초교,곡수 삼거리 양평터미널 ,1,12:30,13:50,,,,2020-11-23
5-55,양평터미널 곡수 삼거리 ,양평시장양평고교회현리개군주읍리수곡리곡수초교,곡수 삼거리 양평터미널 ,1,18:20,19:10,,,,2020-11-23
5-6,양평터미널 곡수 삼거리 ,곡수초교수곡리주읍리개군회현리양평시장,곡수 삼거리 양평터미널 ,1,07:00,,,,,2020-11-23
5-7,양평터미널,양평시장양평고교회현리개군천서리송촌리곡수삼거리옥천13리초현리,대신터미널,1,07:45,18:20,,,,2020-11-23
5-8,양평터미널 대신터미널 ,양평시장양평고교회현리개군천서리계전1리회관곡수삼거리옥촌리초현리,대신터미널 양평터미널 ,1,13:40,14:40,16:40,,,2020-11-23
5-88,대신터미널,초현리옥촌리곡수삼거리계전1리회관천서리개군회현리양평시장,양평터미널,1,07:35,,,,,2020-11-23
6 벽 ,양평터미널,양평시장오빈리아신역옥천면사무소신복리한화리조트,신복프라자종점,9,06:40,07:10,19:40,20:10,,2020-11-23
6-1,양평터미널,양평시장오빈리아신역옥천면사무소용천리신애리덕평리양평시장,용천1리 마을회관,5,08:00,08:25,21:00,21:20,,2020-11-23
6-10 벽 ,양평터미널,양평중현대A덕평리신애리신복리중미산휴양림가일리한우재,설악 터미널,2,10:40,11:40,15:40,16:50,,2020-11-23
6-12,양평터미널,양평시장군민회관덕평리신애리용천리용천3리옥천면사무소아신역오빈양평시장,용천3리,1,06:50,07:10,,,,2020-11-23
6-2,양평터미널,양평시장군민회관덕평리신애리용천리옥천면사무소아신역오빈양평시장,용천1리 마을회관 신애옥천 ,6,07:30,08:00,17:00,17:20,,2020-11-23
6-3,양평터미널,양평시장오빈리아신역옥천면사무소용천3리신애리덕평리양평시장,용천3리,3,10:30,10:55,18:30,18:50,,2020-11-23
6-4,양평터미널,양평시장양평군청양평군민회관덕평리신애리오빈리,오빈리,1,09:50,10:00,,,,2020-11-23
6-5 벽 ,양평터미널,양평시장덕평리신애리오빈리아신역옥천면사무소,곤일 종점,2,06:40,07:05,17:40,18:10,,2020-11-23
6-6 벽 ,양평터미널,양평시장양평군청오빈리아신역옥천면사무소신복리중미산휴양림정배리도장리,문호리 종점 중미 ,2,08:30,11:00,14:40,19:50,,2020-11-23
6-8 벽 ,양평터미널,양평시장양평초교오빈리신애리덕평리,신애리,1,08:20,08:35,,,,2020-11-23
7,양평터미널,양평동초교백안리대흥리봉성리용문덕촌리,용문사,1,07:00,16:50,,21:15,,2020-11-23
7-1 벽 ,용문 터미널 연수리 종점 ,용문축협용문시외정류장소방서앞청소년야영장앞연수2리마을회관연수리연안상회앞,연수리 종점 용문 터미널 ,4,07:15,07:30,19:00,19:15,,2020-11-23
7-10,용문 터미널,용문우체국용문시외정류장연수리종점오촌리덕촌리마룡리용문축협용문터미널,연수리 오촌 용문 ,2,07:15,07:30,17:00,17:15,,2020-11-23
7-11,용문사        ,안식관입구오촌리다리앞신점2리마을회관연수리종점연수리용화사입구연수2리마을회관용문축협, 오촌연수 용문터미널,2,07:30,,17:20,,,2020-11-23
7-2 벽 ,용문 터미널,용문우체국용문성당송현리월산리,지평 월산 ,1,07:50,08:15,,,,2020-11-23
7-3,용문 터미널,용문우체국삼성리화전리용문성당용문축협,화전2리 마을회관앞,2,07:50,08:05,10:10,10:25,,2020-11-23
7-4,용문 터미널,용문우체국용문역마룡리덕촌리,용문사,10,07:50,08:15,19:00,19:25,,2020-11-23
7-5 벽 ,용문 터미널,용문중고교마룡리퇴촌다리앞덕촌리조현리중원리중원계곡입구망능리,망능리.마을회관,7,07:15,07:05,18:30,19:00,,2020-11-23
7-4,용문 터미널,용문축협용문성당화전리삼성리용문우체국,화전2리 마을회관앞,2,16:00,16:15,18:30,18:45,,2020-11-23
7-8,용문 터미널 용문사 ,용문우체국용문역마룡리조현리,용문사 조현리  용문 터미널 ,2,10:30,10:55,21:00,15:25,,2020-11-23
7-9,용문 터미널,용문축협용문중고교마룡리광탄삼거리지평옥현리대평리망미리지평,망미리,3,09:00,09:30,17:40,18:00,,2020-11-23
8-2,서후2리 종점,서후1리수능2리마을회관수능1리마을회관소나기마을입구낙촌다리마진배문호리가루개괘미양수리,양수역  문호착 ,1,06:40,07:15,,,,2020-11-23
8-3,문호리,가루개괘미양수리양수역부용리수양관목왕삼거리,목왕1리 종점,2,09:30,10:05,12:50,13:25,,2020-11-23
8-33,문호리,가루개괘미양수리양수역부용리수양관목왕삼거리,목왕1리 종점,1,17:15,17:50,,,,2020-11-23
8-4,문호리 종점,가루개노적사입구건지미괘미양수리양서면사무소,양수역,5,09:30,09:45,21:50,22:05,,2020-11-23
8-44,문호리 종점,가루개노적사입구건지미괘미양수리양서면사무소,양수역,14,17:15,08:10,19:50,20:05,,2020-11-23
8-5,문호리 종점,마진배수능리서후리목왕리수양관부용리양수역양수리괘미가루개문호착,양수역,3,09:45,08:40,19:55,20:45,,2020-11-23
8-55,문호리 종점,마진배수능리서후리목왕리수양관부용리양수역양수리괘미가루개문호착,양수역,2,07:55,07:40,14:05,15:00,,2020-11-23
8-6,문호리 종점,가루개괘미양수리양수역부용리수양관목왕리서후리수능리마진배,양수역,3,07:50,11:40,20:20,20:40,,2020-11-23
8-7,문호리 종점,가루개양수리양수역양수리문호리서종면사무소수입리,수입리 나루터 수입3리  마을회관 ,1,06:50,16:35,,,,2020-11-23
8-8 벽 ,문호리 종점,가루개노적사양수역양수리조안면사무소다산정약용유적지입구능내리팔당댐팔당대교검단산입구하남 신안A ,하남시,3,11:20,08:15,18:25,09:05,,2020-11-23
8-9,문호리 종점,서종중수입리문호리양수역문호리,수입리 나루터 수입3리 마을회관 ,1,08:30,18:45,,,,2020-11-23
9-1 벽 ,문호리 종점,서종면사무소서종중수입리석바탕-노문리입구노문리보건소,명달리 종점,5,09:20,10:00,19:05,19:40,,2020-11-23
9-2,문호리 종점,마진배소나기마을수능리서후리정배리도장2리마진배,서후2리 종점,2,16:00,16:20,19:05,19:25,,2020-11-23
9-20,문호리 종점,마진배소나기마을수능리서후리정배리도장2리마진배,서후2리 종점,2,10:00,10:20,13:00,13:20,,2020-11-23
9-22,문호리 종점,마진배소나기마을수능리서후리정배리도장2리마진배,서후2리 종점,1,08:00,08:20,,,,2020-11-23
9-3,문호리 종점,마진배도장2리정배리서후리수능리소나기마을마진배,정배리 종점,1,17:40,17:55,,,,2020-11-23
9-30 벽,문호리 종점,마진배도장2리정배리서후리수능리소나기마을마진배,정배리 종점,3,08:35,08:50,14:40,14:55,,2020-11-23
9-6,명달리 종점,노문리수입리서종면사무소문호리양수리국수리아신리오빈리,양평터미널,1,06:35,,,,,2020-11-23
9-7,문호리 종점,괘미양수리신원리국수역정자리고현리아신리오빈리,양평터미널 고현 ,1,19:45,,,,,2020-11-23
9-8,중미산 양현마을,양현마을정배초교정배1리마을회관도장리마진배,문호리 종점,1,07:30,,,,,2020-11-23
